"File","Line","Column","Severity","Message","Rule"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","99157","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","99625","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","99746","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","99933","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","103765","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","106220","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","106371","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","106839","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","108121","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","108806","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","109741","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","110296","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","110607","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","111409","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","113049","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","113118","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","113275","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","113736","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","114412","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","114520","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","114675","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","114784","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","115066","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","116081","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","116466","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","117103","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","117858","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","118499","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","118710","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","118848","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","119182","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","119342","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","119677","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","120225","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","120270","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","120378","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","120618","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","120853","error","Unexpected constant condition","no-constant-condition"
